sentence_1,sentence_2,label
"[5091, 4850, 824, 588, 5716, 4764, 2249, 5716, 9371, 6993, 7380, 858, 6893, 668, 6053, 588, 892, 7485, 6186, 1044, 2520, 588, 459, 7621]","[10209, 155, 6993, 7380, 858, 6893]",0
"[5515, 824, 654, 3548, 10427, 10685]","[5091, 5393, 3257, 10685]",1
"[5091, 552, 2306, 8295, 9738, 2169, 4495, 9769, 3034, 2472, 7580, 2249, 8815, 5050, 9122, 6053]","[9291, 552, 2306, 6993, 8295, 5631, 588, 4231, 6816]",0
"[5091, 4850, 6877, 6053, 8815, 2718, 6468, 4299, 588, 4542, 2919, 2159]","[10209, 155, 6993, 10451]",0
"[5091, 10609, 9876, 7986, 9854, 1932, 8956, 588, 5393, 2520, 588, 10041, 4787, 9342, 3747, 1105, 588, 6111]","[9291, 5393, 10459, 1421, 5482]",0
"[5091, 5696, 5523, 2249, 7660, 6053, 588, 8518, 9228, 9769, 846, 588, 5437, 8517, 1465, 9876, 2169, 618, 5433, 8705, 2169, 8118, 3115, 9876, 5681]","[5091, 5696, 5523, 2249, 7660, 10451, 6053, 2169, 3216]",0
"[123, 10118, 9389, 6053, 2204, 2672, 588, 4262]","[5091, 10609, 9876, 10118, 9854, 4441, 588, 4262]",1
"[5091, 5393, 8667, 9846, 6925, 6993, 2761, 6053, 588, 1624, 2249, 6993, 4326, 588, 2399, 9846]","[5091, 7621, 8667, 1716, 10266, 2761, 6053, 588, 1716]",0
"[5091, 5393, 2520, 5421, 8468, 4143, 588, 5421, 5353]","[5091, 5393, 4425, 2520, 8815, 5242]",1
"[5091, 5393, 8667, 588, 5421, 9233, 3152, 2249, 588, 2423, 4143, 2169, 6479]","[5091, 5393, 5104, 1421, 2423]",0
"[9484, 481, 4850, 8220, 2169, 8401, 9876, 3034, 4850, 9769, 10781, 707, 2093, 3364, 588, 1790, 5778, 824, 588, 785, 1853]","[9291, 481, 4850, 7830, 5522, 3616, 10328, 2408, 2169, 501]",1
"[5091, 5227, 9876, 9871, 824, 1783, 10571, 9854, 6252, 10126, 5393, 824, 588, 9846, 9193]","[5091, 5227, 9876, 7986, 824, 1783, 10571, 9854, 6252, 10126, 5393, 824, 588, 9846, 9193]",1
"[5091, 4850, 824, 9846, 87, 2169, 8746, 9876, 588, 4850, 8667, 588, 2851, 1600, 937]","[9291, 4850, 824, 9846, 8707, 10328, 2469, 3960, 707, 242, 8746, 3616, 10328, 5760, 2169, 4706, 7261, 9229, 8746]",0
"[5091, 10609, 9876, 7986, 9854, 9312, 3044, 2169, 1151, 3126]","[9291, 2975, 6993, 9312, 3044, 2169, 7244]",0
"[5091, 5342, 459, 7621, 6993, 1044, 2520, 588, 484, 9801, 7816]","[5091, 5342, 7621, 6993, 1044, 2520, 588, 4495]",0
"[5091, 7626, 908, 3092, 6704, 588, 4817, 1105, 588, 5896, 9876, 9429, 646]","[9291, 7626, 6993, 908, 3092, 6704, 1105, 10801]",0
"[5091, 2943, 3277, 824, 2169, 235]","[9291, 2943, 6993, 824, 2169, 8362, 9876, 2169, 9474]",0
"[8387, 6778, 10126, 6072, 2672, 588, 1306, 2520, 588, 8870, 3368, 8956, 7580, 9769, 2169, 4706, 6993, 588, 5393, 8561, 824, 588, 9846, 9193, 6993, 2912, 1105, 588, 6111]","[8387, 6778, 9854, 1044, 3993, 9360]",0
"[5091, 4552, 9614, 2520, 6539, 7347, 10427, 4834, 824, 588, 2975]","[9291, 9614, 6993, 2672, 3991, 2520, 707, 5321]",0
"[4593, 9755, 6993, 5356, 1421, 2277, 3044, 2169, 785, 4546, 1867]","[5091, 9755, 4311, 588, 2277]",1
"[5091, 4850, 824, 588, 1786, 1617, 8494, 10151, 6993, 6909, 707, 5870, 1105, 588, 8271, 2753, 2181, 9769, 2169, 8672, 3870, 3044, 2169, 473, 6320, 8523, 8528]","[10144, 6993, 2709, 2249, 5721]",0
"[2566, 7740, 9854, 6072, 2672, 588, 6311]","[5091, 5393, 8096, 2169, 4495]",0
"[5091, 10768, 9614, 824, 588, 6598, 9193, 6993, 6072, 2672, 588, 7568, 8161]","[5091, 355, 4818, 6993, 6072, 2672, 588, 8161]",1
"[8387, 355, 10343, 8667, 4050, 10546, 6925, 3264, 10801, 6974, 9638, 3195, 864]","[9291, 10343, 9854, 7203]",0
"[5091, 4850, 824, 588, 3665, 9671, 6993, 2761, 6053, 588, 6468]","[9291, 6508, 6993, 2761, 6053, 588, 6468]",1
"[8387, 6778, 2520, 459, 2580, 9854, 4160, 6053, 2135, 588, 2710, 3338]","[8387, 6778, 9854, 10159]",0
"[5091, 683, 824, 671, 7478, 2249, 588, 2423, 3741, 9517, 2520, 2851, 2249, 6598, 4130, 10266, 9122, 2041, 3447, 588, 2907, 6893, 7677]","[5091, 683, 9122, 2041, 9876, 588, 2907, 6893, 7677]",1
"[5091, 4617, 206, 2520, 10801, 4916, 3259, 6993, 10427, 588, 5998, 824, 588, 10801, 1513, 9145, 2249, 8324, 707, 8688]","[5091, 4617, 9895, 7370, 2520, 10801, 4916, 3259, 6993, 10427, 588, 5998, 824, 588, 10801, 1513, 9145, 2249, 8324, 707, 8688]",1
"[5091, 5393, 824, 588, 2736, 2782, 4764, 2249, 4797, 8203, 2672, 2169, 4075, 9769, 9389, 824, 588, 2975, 2672, 8815, 2674, 401]","[5091, 5393, 824, 9856, 7471, 2249, 4797, 8203, 10451]",1
"[5091, 5393, 1000, 668, 2249, 6105, 1421, 10350, 6053, 588, 3283, 6941, 4205, 5688, 9876, 9846, 7267]","[5091, 5393, 6993, 2761, 3797]",0
"[9564, 8667, 9224, 3548, 10427, 588, 10685, 2520, 588, 4075]","[5091, 4850, 824, 2851, 6411, 9638, 9851]",0
"[2566, 4850, 8667, 1857, 888, 1226, 6225, 4843, 2249, 10320]","[2566, 6778, 6225, 824, 8279, 2782, 1990, 3209]",0
"[5091, 10768, 7626, 6993, 8743, 9503, 4392, 824, 2169, 5974, 824, 588, 2730, 9455, 1644]","[5091, 5784, 8743, 7961, 5974, 824, 588, 5342, 1644]",1
"[5091, 9846, 7621, 824, 588, 2851, 139, 6281, 8815, 482, 5640, 7443, 458, 6053, 588, 246]","[5091, 9846, 7621, 2520, 588, 2851, 139, 6993, 6281, 8815, 482, 5640, 7443, 458, 9769, 6053, 7471, 9876, 588, 246]",1
"[8387, 7986, 5020, 2169, 8406]","[9291, 8406, 6993, 8418]",0
"[3013, 4841, 7283, 588, 309, 824, 588, 9013, 435]","[8013, 9854, 10781, 7591]",1
"[5091, 5393, 2249, 588, 4850, 8574, 1911, 2520, 8279, 7971, 824, 2169, 5974]","[8387, 10764, 9854, 824, 2169, 1644]",0
"[630, 6744, 6892, 2169, 10405, 6053, 2169, 3992, 2943]","[9291, 4254, 6744, 6993, 5858, 588, 807, 3106]",0
"[9691, 9854, 374, 63, 1269, 824, 2169, 1498]","[9691, 9854, 588, 5178, 1269, 824, 2169, 1498]",1
"[9291, 5393, 8667, 588, 2423, 2249, 4714, 6993, 10427, 588, 1498]","[5091, 5393, 8667, 588, 2423, 2249, 4714, 6993, 6754, 1105, 588, 8749]",0
"[9484, 5337, 8079, 215, 3209, 1105, 2169, 4075, 6112, 1685, 588, 2423, 9876, 4205, 2088, 7380, 5665, 2249, 3221, 956, 9876, 8227, 2249, 718]","[5091, 683, 6993, 8561, 824, 588, 8085, 2249, 7471, 2423]",0
"[10407, 9876, 588, 4617, 2455, 5364]","[5091, 10685, 9876, 588, 4850]",1
"[5091, 10609, 9876, 7986, 9854, 7519, 6053, 2169, 3216, 2520, 8279, 3216, 3182, 2249, 7309]","[5091, 10609, 9876, 7986, 9854, 2672, 2169, 3216]",1
"[5091, 5393, 824, 5642, 9122, 9907, 5853]","[5091, 5393, 6993, 1686]",0
"[5091, 6112, 6409, 10192, 588, 2943, 2520, 588, 5393, 6053, 10678]","[5091, 5393, 7984, 588, 6112, 6409, 3616, 10011]",1
"[5091, 3992, 2943, 10163, 2494, 1421, 8690]","[5091, 3992, 2943, 10163, 8007, 1199, 5933]",0
"[5515, 4160, 6053, 5167, 7345]","[5091, 683, 6993, 10427, 588, 3127]",0
"[5091, 5342, 3911, 5991, 7626, 2761, 6053, 588, 8247, 10486, 2908, 2160, 824, 2169, 1448, 9876, 588, 79, 941, 5537, 9145, 2907, 6993, 5877, 9876, 588, 3769, 824, 588, 4114, 9145]","[9291, 7626, 6993, 4441]",0
"[9564, 6825, 588, 5179, 4186, 588, 4994, 8598, 2943]","[5091, 4850, 6993, 7800, 4186, 588, 2943]",1
"[9484, 4866, 5393, 6993, 7203, 8705, 9389, 824, 2169, 864]","[6465, 6778, 9854, 2761, 4392, 10451, 6053, 8279, 821, 5998]",0
"[9484, 3353, 4617, 824, 588, 5421, 9193, 6993, 4217, 771, 8956, 588, 585, 10817, 10555, 1913, 3616, 588, 2975, 9122, 6053]","[5091, 5393, 3960, 8770, 5024, 588, 5730, 8119]",0
"[5091, 5393, 7289, 588, 4484, 9903, 588, 9702, 3496]","[5091, 5393, 6993, 1246, 588, 4653]",0
"[3013, 4841, 9854, 4160, 6053, 588, 2135]","[1155, 139, 4841, 9854, 4160, 6053, 588, 5854]",1
"[8387, 1828, 1180, 824, 2169, 9627]","[8387, 1828, 5825, 10451]",1
"[5091, 5393, 9876, 9638, 8079, 5337, 7163, 6072, 5133, 1105, 2169, 3793]","[8013, 9854, 3691]",1
"[5091, 5393, 4299, 588, 8876, 2615, 6407]","[9291, 5393, 6993, 4299, 588, 4922, 2943]",0
"[8387, 5590, 9854, 6072, 3797, 10126, 7830, 3710, 9193, 2249, 2169, 4706, 7830, 6053, 588, 9846, 9193, 2520, 588, 9107, 6053, 1421, 10350]","[8387, 5590, 9854, 6072, 3797]",1
"[5091, 5393, 2249, 588, 4617, 4186, 8956, 10774]","[5091, 5393, 7362, 588, 4322, 2919]",0
"[5091, 5393, 6053, 2169, 2209, 6974, 588, 8907, 9876, 2419, 2249, 3034, 5393, 2761, 4299, 2169, 665, 9831, 9109]","[9792, 2385, 2368, 8518, 3527]",0
"[5091, 5393, 824, 588, 4581, 9193, 8396, 588, 2851, 6103]","[5091, 5393, 824, 588, 6598, 9193, 6993, 6053, 588, 4817]",0
"[5091, 5393, 4299, 588, 3018, 6993, 7834, 588, 4850, 2672, 588, 9251, 9769, 7986, 9854, 9389, 8523, 8528]","[5091, 5393, 2249, 588, 4850, 9854, 7834]",1
"[8387, 7986, 2761, 3368, 8956, 588, 4083, 6072, 5133, 588, 10063]","[9291, 7986, 9854, 4186, 8956, 7619]",0
"[8387, 1828, 10126, 8667, 10385, 2169, 4706, 8667, 2851, 10457, 8956, 2906, 588, 4495, 824, 588, 9007]","[9291, 4205, 1828, 9854, 1044, 9851, 6450]",0
"[5091, 5081, 2274, 6053, 4506, 2520, 3238, 6095, 2076, 7831, 2384]","[1868, 5410, 3267, 6993, 4425, 6053, 4506, 2520, 6451, 10786, 3389, 124, 10579]",0
"[5091, 10609, 9876, 7986, 4559, 8279, 9575, 2249, 179, 3616, 726, 5822, 9987, 668, 6053, 588, 6540, 8735]","[5091, 10609, 9876, 7986, 9854, 824, 8815, 4498]",0
"[9891, 6508, 2761, 10451, 588, 2135, 2912, 8956, 588, 5393]","[9891, 7986, 2761, 10451, 588, 2135, 2912, 8956, 588, 5393]",1
"[5091, 7626, 824, 9224, 2249, 3665, 1419, 6993, 10731, 1667]","[5091, 7626, 824, 588, 232, 8085, 6993, 5385, 824, 588, 368]",0
"[8387, 7986, 13, 6053, 2169, 2209, 2520, 2851, 2249, 10385, 9148, 1064]","[5091, 5393, 2520, 588, 6598, 8979, 7288, 8956, 3731, 3447, 8815, 6407]",0
"[9484, 3353, 8427, 6704, 5393, 1741, 588, 9469]","[5091, 5393, 1741]",1
"[5091, 5870, 3094, 824, 9638, 9636, 9876, 4558, 7568]","[5091, 5784, 6993, 10089, 588, 7568]",0
"[5091, 5393, 6877, 6053, 588, 2264, 2866, 55, 588, 5391, 9876, 5974]","[5091, 5393, 6877, 2169, 2264, 1734]",1
"[5091, 5393, 4311, 4205, 5590, 824, 588, 997, 3227, 9769, 588, 10768, 9614, 7773, 5731, 8528]","[5091, 5393, 6993, 5858, 588, 2943, 824, 588, 1820]",0
"[9564, 270, 3797, 9638, 7557, 2672, 588, 8426]","[9564, 7774, 10713, 8264, 3088, 10612, 5790, 2672, 2169, 6802]",1
"[9291, 7626, 8667, 588, 9846, 2782, 4764]","[5091, 683, 8667, 588, 9846, 9193]",1
"[5091, 10768, 7626, 6993, 946, 6053, 1421, 6934, 2520, 1421, 4695, 824, 1421, 9575, 6053, 2169, 9627]","[5091, 10768, 6578, 6993, 3691]",1
"[8387, 3907, 2672, 588, 7896, 10159, 2455, 1040, 7527, 1098]","[8387, 6508, 9854, 10159]",1
"[7320, 7986, 1302, 824, 588, 9224, 3338, 8204, 235, 9508, 10482]","[6465, 7986, 9854, 9389, 4441, 588, 3338]",1
"[5091, 5393, 2249, 355, 7626, 9389, 2672, 588, 8015, 4254, 2672, 5986]","[5091, 5393, 2249, 588, 355, 7626, 8419, 6726, 4843]",0
"[5091, 7626, 6993, 8743, 9503, 5974, 824, 1421, 232, 8085]","[7176, 8743, 9503, 5974]",1
"[5091, 5696, 6993, 1932, 8956, 315, 6053, 2977, 4732, 1467, 8784, 9769, 4088]","[5091, 5696, 2951, 588, 2143]",1
"[5091, 5393, 51, 5742, 5216, 10801, 824, 9513, 9876, 588, 3338]","[9291, 5393, 6993, 10451]",1
"[6550, 6267, 4262, 1828, 9854, 7170, 8956, 2508]","[9291, 1828, 9854, 7170, 8956, 4262]",1
"[2566, 2387, 2761, 3368, 8956, 588, 4455, 2943, 10126, 9876, 7439, 6993, 7800, 2520, 2169, 10163, 9876, 4870, 2943]","[5091, 4850, 2433, 6053, 588, 6753, 1419, 10328, 8031, 2549]",0
"[3952, 7957, 2169, 8439, 9876, 3976]","[3952, 9854, 9389, 824, 588, 7113]",0
"[5091, 5098, 10333, 6993, 2818, 8705, 588, 8496, 9769, 9647, 824, 588, 1644]","[5091, 7621, 6993, 3276]",0
"[5091, 4850, 824, 10385, 7977, 588, 3881, 4495, 824, 588, 3881, 1114]","[5091, 4850, 6993, 1044, 2541]",0
"[4684, 1052, 7986, 2520, 1674, 6881, 9854, 10415, 4843, 2672, 588, 1040, 10127, 2168]","[9691, 9854, 219, 7887, 588, 5178, 7986, 2672, 588, 2168]",1
"[5091, 4850, 824, 588, 9224, 9193, 2520, 588, 7707, 9403, 6053, 707, 1496]","[5091, 4850, 824, 588, 10385, 9193, 6993, 6053, 588, 3931, 2672, 2169, 8518]",0
"[5091, 5393, 6993, 1044, 5353, 824, 2169, 501, 2455, 588, 5342, 2975]","[9691, 9854, 5172, 7986, 824, 3471, 1498, 2249, 726, 9854, 2831, 10451]",0
"[5091, 5421, 7621, 8667, 588, 2851, 139, 6993, 3551, 588, 9502, 10006, 588, 368]","[8013, 9854, 677, 3797, 1782]",0
"[8387, 355, 6508, 9854, 1661, 6072, 2672, 8279, 1567, 660]","[9291, 6508, 9854, 2912, 8956, 4048, 4706]",0
"[5091, 7626, 824, 588, 10041, 7480, 10619, 3160, 6053, 1421, 6103]","[2553, 7621, 2993, 9900, 458]",0
"[5091, 5393, 824, 588, 2423, 8396, 588, 3102, 6704, 1705]","[5091, 5342, 9614, 6993, 8396, 588, 6112, 6409]",0
"[5091, 5393, 6993, 10801, 6525, 668, 588, 9489, 10063]","[5091, 5393, 6993, 10451]",1
"[3781, 5300, 10001, 824, 588, 3992]","[10209, 155, 6993, 10001]",0
"[5091, 10609, 9876, 7986, 10001, 588, 4484, 3992, 4245, 588, 2851, 2135]","[5091, 5233, 9876, 7986, 9071, 4245, 588, 2135]",1
"[5091, 5696, 9854, 1040, 1540, 3616, 726, 7004, 6053, 829, 824, 588, 9305, 8518]","[9291, 5696, 9854, 10451]",1
"[5091, 2416, 4143, 588, 9189, 3828, 8956, 588, 9251, 5711]","[5091, 5393, 6993, 1213, 1867, 6053, 4506]",0
"[9891, 6778, 4160, 824, 588, 8340, 8705, 180, 2965]","[9891, 6778, 9854, 4160]",1
"[5091, 9846, 2249, 459, 458, 5147, 2672, 588, 4449, 7220, 3950, 4504, 824, 9513, 9876, 7580]","[9291, 7621, 2990, 2169, 458, 3797, 2520, 4449, 7220, 3950]",0
"[7320, 7986, 2761, 8705, 7996, 2249, 3208]","[3952, 9854, 3691]",1
"[9691, 9854, 4205, 6778, 824, 482, 10482, 955, 1117, 8956, 588, 10598, 3825, 10179, 2672, 588, 1834]","[9691, 9854, 4205, 2629, 4841, 9261, 824, 588, 6496, 8956, 2629, 2672, 588, 1834]",1
"[5091, 2975, 7773, 6053, 588, 8053, 6314, 2455, 588, 3992]","[5091, 2975, 9876, 7986, 8839, 4392]",0
"[8387, 10343, 824, 10385, 2580, 1775, 6053, 2169, 3121, 9876, 588, 9228, 3368, 8956, 588, 6802, 5020]","[9691, 9854, 4205, 10343, 824, 3471, 10685, 2249, 726, 9854, 1661, 10451]",1
"[9891, 5337, 4656, 6508, 9854, 8561, 824, 4316, 482, 2249, 459, 3572, 2249, 10350, 2715, 1447]","[9691, 9854, 4983, 7986, 1968]",1
"[9891, 6778, 8667, 9224, 2782, 4916, 427, 2368, 588, 501, 9926]","[9291, 6778, 9854, 8580, 7531, 2672, 588, 9251]",0
"[9891, 1828, 1443, 2169, 2264, 4350, 6974, 588, 368, 2544]","[9291, 1828, 9854, 3691]",1
"[5091, 7621, 565, 6053, 2169, 2209]","[5091, 924, 565, 4392, 6053, 2169, 2209]",1
"[9291, 5421, 7621, 6993, 8705, 588, 5797, 4495, 2249, 2169, 459, 7621, 6993, 10001]","[9291, 4205, 2876, 9854, 9010, 824, 299]",1
"[3952, 846, 588, 2143, 4843, 4721, 2169, 6336]","[3952, 4088, 588, 2470, 2143]",1
"[5091, 9483, 2249, 2975, 9876, 7986]","[5091, 10609, 9876, 7986, 6974, 588, 9483]",1
"[9484, 3353, 7972, 6993, 1938, 588, 7626, 8310, 8956, 4139, 10211, 3707]","[5091, 5393, 6993, 1938, 588, 7626]",1
"[5091, 6549, 4617, 6993, 2254, 10066, 6053, 2169, 4487, 2520, 588, 355, 9614, 2249, 2169, 4617, 7830, 588, 5355, 2869]","[5091, 6549, 4617, 6993, 2254, 10066, 6053, 2169, 4487, 2520, 588, 355, 9614, 2249, 2169, 4617, 7830, 588, 5355, 2869]",1
"[5091, 5393, 824, 588, 8518, 6993, 518, 6053, 588, 9251, 6072, 8563, 2169, 4075, 9769, 588, 7626, 824, 2169, 7088, 6993, 518, 9903, 588, 9251, 2249, 588, 4617, 2520, 588, 8879, 6993, 7759, 8563, 588, 9614]","[9291, 5393, 6993, 518, 9903, 588, 9246, 9251, 6072, 2672, 588, 7626]",1
"[5091, 5393, 4299, 588, 9844, 4075, 2761, 10451, 9876, 588, 3862, 2135]","[5091, 5393, 6877, 10451, 588, 3862, 2135, 2520, 588, 4075]",1
"[8387, 7986, 9262, 2520, 8106, 2890, 8969, 824, 588, 10756, 6121]","[9691, 9854, 4205, 7986, 824, 588, 10756, 6121, 8667, 8106, 2890, 8969]",1
"[5091, 9409, 9876, 8330, 7458, 8815, 10489, 3828]","[6465, 7986, 8419, 588, 3828]",1
"[5091, 355, 5870, 6993, 10001, 8071, 588, 3216]","[5091, 9614, 6993, 2672, 707, 672, 824, 588, 7153]",0
"[5091, 5139, 2225, 588, 10096, 9876, 2443, 671, 8770, 824, 2169, 473, 10489]","[9691, 6993, 588, 473, 10489, 5139]",1
"[9891, 7986, 2520, 4371, 4610]","[3952, 9854, 7957, 8071, 2169, 3216]",0
"[5091, 7626, 9647, 8956, 1154, 588, 3881, 4495, 2520, 1421, 6160]","[9291, 7626, 6993, 5520, 6453, 1440]",0
"[5091, 4850, 8667, 588, 2038, 6993, 1044, 8815, 9155, 7380, 10364]","[5091, 4850, 6993, 9389, 1044, 2169, 7380, 10364]",1
"[9691, 6993, 588, 997, 505, 824, 2169, 4083]","[9291, 997, 505, 824, 2169, 6247, 6993, 3447, 588, 4972, 6208]",0
"[8265, 7112, 2618, 588, 8867, 2455, 588, 2975, 824, 6614, 3665, 4707]","[9291, 7112, 8667, 3665, 4707, 4930, 588, 8867, 2455, 2169, 2975]",1
"[5091, 2975, 9876, 1828, 2249, 9638, 9854, 8667, 9224, 6881]","[9291, 1828, 9854, 2831, 2672, 8279, 3656, 10790]",0
"[5091, 4850, 2520, 6598, 4247, 824, 707, 8746, 4143, 8815, 5242]","[5091, 7302, 2520, 4247, 824, 707, 8746]",1
"[8387, 6778, 824, 2169, 10714, 9854, 1044, 2541]","[9291, 10714, 6778, 9854, 1246, 824, 3007, 5219]",0
"[5091, 6496, 2520, 7986, 2249, 8279, 4667, 6993, 824, 2169, 5974]","[9291, 6496, 7830, 8215]",0
"[8387, 6778, 824, 10385, 2987, 9854, 9389, 6053, 588, 3195, 9921, 9987]","[8387, 6508, 1589]",0
"[1051, 588, 5797, 9007, 4205, 6263, 3731, 3797, 8956, 10350, 2400, 2169, 4495]","[8387, 6263, 1044, 2541]",0
"[9291, 459, 7621, 6993, 2761, 824, 588, 4828, 9627, 5543]","[5091, 7621, 6993, 2761, 3691]",1
"[5091, 683, 8667, 588, 4581, 9193, 2249, 588, 10385, 10350, 5848, 6993, 8405, 8279, 8746, 824, 588, 3621]","[9291, 683, 7830, 6053, 588, 6134, 5421, 9193]",0
"[5091, 683, 5289, 4233, 10724]","[5091, 683, 6993, 10469]",1
"[5091, 7626, 9647, 9903, 9638, 5974]","[5091, 9614, 6993, 4186, 8956, 3731, 9903, 2169, 5974]",0
"[7538, 5393, 4326, 588, 10685, 9876, 2325, 4729, 824, 2169, 7088]","[9291, 5393, 6993, 2135, 588, 10449, 7291]",0
"[9564, 99, 8956, 3892, 5393]","[5091, 4850, 1040, 1540, 707, 5870]",0
"[5091, 9389, 4850, 6993, 9995, 5731, 588, 5393, 824, 588, 10385, 3548]","[5091, 5393, 6993, 3161, 3368, 8956, 8815, 10510, 4850]",0
"[5091, 10768, 7626, 6993, 9647, 1105, 8815, 2674, 2730, 9455, 1644]","[5091, 7302, 9647]",1
"[5091, 5393, 6993, 6825, 588, 1034, 1957, 5179, 6053, 588, 8750, 4927]","[9291, 5393, 6993, 5370, 5214]",0
"[8387, 1828, 6890, 3361, 1055]","[8387, 7986, 7272]",1
"[9291, 10617, 9941, 2169, 2470, 2294, 7984, 588, 10096, 9876, 5023]","[5967, 5154, 7297, 2289, 315]",1
"[8387, 5506, 7910, 5464, 2041, 6053, 588, 8655, 6463]","[8387, 10023, 7579, 9854, 7957, 3044, 588, 5324]",0
"[5091, 10609, 9876, 7986, 9854, 3641, 4616, 7217, 3447, 588, 7826, 2672, 5986]","[5091, 10609, 9876, 4322, 1775, 2672, 8749, 2249, 8419, 4822]",0
"[5091, 355, 7626, 4623, 588, 4451, 6069, 4964, 9254, 5417, 824, 2169, 9627]","[9291, 7626, 6993, 824, 2169, 9627]",1
"[3952, 2761, 6053, 588, 6468]","[991, 5281, 1775, 2672, 2169, 7145]",0
"[8387, 6508, 824, 7003, 9854, 2233, 588, 501, 824, 588, 1853]","[10209, 155, 7830, 7003]",0
"[5091, 8907, 9876, 2419, 10451, 9876, 588, 7964, 10827]","[9291, 7964, 10827, 5227, 6993, 2910, 9876, 2419]",1
"[5091, 8362, 879, 5393, 8667, 5421, 2520, 588, 9846, 2447, 8903, 5909, 3616, 588, 6179, 8362, 879, 5393, 8667, 459, 2249, 588, 9224, 2249, 1796, 2447, 8903, 1768]","[5091, 683, 10027, 9876, 2169, 8362, 4330, 5909, 2672, 3915]",1
"[5091, 4850, 2249, 5393, 2520, 588, 5870, 824, 2169, 2376, 9876, 588, 9579, 9876, 1828]","[5091, 7621, 3276, 588, 7590]",0
"[8387, 6778, 2520, 4025, 668, 5737, 588, 7551]","[9291, 6778, 3731, 5133, 588, 2101]",0
"[5091, 4850, 2249, 707, 5421, 2249, 459, 7621, 10001, 3044, 588, 5543, 824, 2169, 10243]","[5091, 4850, 2249, 707, 7621, 9854, 10451]",1
"[4376, 459, 7621, 1044, 2520, 5797, 4495, 824, 10801]","[10074, 1044, 824, 10801]",1
"[5091, 4850, 8667, 588, 4316, 3665, 3548, 2249, 2423, 6877, 6053, 588, 785, 501, 9769, 4611, 7110, 8705]","[5091, 4850, 6993, 1211]",0
"[5091, 7621, 8667, 588, 9671, 4143, 2520, 588, 7568, 6053, 1126, 9627]","[5091, 7621, 6993, 9017, 588, 8746, 10386]",0
"[7945, 1692, 5724, 7485, 2041, 824, 9224, 2249, 9846, 3376, 7068, 9096, 9579, 4392, 6053, 588, 477, 3769, 2520, 7244, 3209, 2249, 7125, 5681, 824, 2169, 7088]","[3952, 5825, 10225, 824, 9513, 9876, 588, 4081, 7088]",1
"[5313, 2075, 7986, 9389, 6053, 2209]","[5091, 10609, 9876, 7314, 7931, 10140, 6778, 9854, 10451]",1
"[8387, 355, 5590, 9854, 1044, 824, 2169, 9627]","[8387, 5590, 9854, 1044, 10451]",1
"[3952, 9854, 2672, 588, 2168, 2672, 5986]","[3952, 9854, 4688, 2041, 6053, 2169, 6186, 2831, 9903, 2169, 3338]",0
"[5515, 6053, 588, 10258, 9389, 2520, 588, 4850, 55, 2169, 6416]","[5091, 5393, 2520, 588, 8688, 8839, 5731, 588, 4850]",1
"[5091, 4850, 6993, 8324, 707, 8688, 9769, 7957, 3364, 588, 7896]","[5091, 4850, 6993, 8324, 707, 8688]",1
"[8387, 6778, 9854, 4160, 6053, 2736, 6103, 2907, 6993, 3797, 6053, 9638, 10544, 9876, 3198, 8078]","[9291, 6778, 9854, 10507, 6726]",0
"[8387, 4850, 9854, 2761, 824, 2169, 585, 2249, 10126, 9876, 8528, 6993, 4299, 588, 333]","[9691, 9854, 4983, 7986, 1968]",1
"[9291, 7730, 824, 1392, 5862, 1088, 7288, 8956, 5391, 5130, 1421, 3581, 7485, 7790]","[9291, 7730, 6993, 6072, 2672, 1421, 7790]",1
"[4684, 1052, 7986, 9854, 2761, 6053, 7471, 9876, 588, 9489, 2264, 10063, 2520, 2169, 1812, 824, 2169, 5950]","[541, 9876, 7986, 2761, 6053, 7471, 9876, 588, 9489, 2249, 2264, 10063, 8956, 5292, 2169, 1812, 824, 2169, 5950]",1
"[9484, 4866, 4850, 6993, 6200, 2520, 10385, 6493]","[5091, 1941, 881, 8258, 588, 2038]",0
"[5091, 4850, 8561, 824, 2851, 8839, 2672, 588, 4153, 2249, 5262, 7297, 2520, 588, 7251, 9176]","[5091, 4850, 8839, 2249, 5262, 7297]",1
"[9484, 3353, 4850, 5775, 588, 997, 9881, 2734, 2672, 588, 8749, 2376]","[9291, 3353, 4850, 6993, 7062, 588, 10609, 9876, 1828, 8310, 8956, 473, 2249, 5572, 1417]",0
"[5091, 5393, 2249, 588, 4850, 8561, 824, 2405, 6881, 9854, 4299, 7444, 1525, 2249, 9986, 6993, 588, 2710, 309, 824, 2169, 7088]","[9291, 5393, 2249, 4850, 5825, 4299, 7444, 1525]",1
"[10247, 7122, 8956, 5587, 588, 297, 824, 2169, 2209]","[9691, 9854, 588, 5178, 6778, 824, 2169, 10685]",1
"[5091, 7626, 2249, 4205, 7965, 2520, 5702, 3211]","[9291, 5590, 9854, 8667, 6425, 7485, 6925, 3616, 726, 3947, 2455, 8279, 3966, 8956, 8063]",0
"[5091, 10609, 9876, 3616, 9919, 6993, 7594, 3991]","[9291, 10609, 9876, 7986, 9854, 4088]",1
"[5091, 10609, 9876, 7011, 7965, 8561, 824, 6598, 2249, 4581, 2936, 824, 588, 4691, 471]","[5091, 10609, 9876, 7965, 9854, 824, 588, 471]",1
